------BEGIN-----
Set Voltages and References
VSet 8KV,|-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-7900,-7800,-7700,-7600,-7500,-7400,-7300,-7200,-7100,-7000,-6900,-6800,-6700,-6600,-6500,-6400,-6300,-6200,-6100,-6000,-5900,-5800,-5700,-5600,-5500,-5400,-5300,-5200,-5100,-5000,-4900,-4800,-4700,-4600,-4500,-4400,-4300,-4200,-4100,-4000,-3900,-3800,-3700,-3600,-3500,-3400,-3300,-3200,-3100,-3000,-2900,-2800,-2700,-2600,-2500,-2400,-2300,-2200,-2100,-2000,-1900,-1800,-1700,-1600,-1500,-1400,-1300,-1200,-1100,-1000,-900,-800,-700,-600,-500,-400,-300,-200,-100,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8000,8000,8000,8000,8000,8000,8000|
VSet 3KV,|3000,2500,2000,1500,1000,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,1000,1500,2000,2500,3000,0|
-----------
 
Meter readings
HV+ Meter High,|7080.0,6575.0,6070.0,5565.0,5060.0,4555.0,4050.0,4050.0,3999.5,3949.0,3898.5,3848.0,3797.5,3747.0,3696.5,3646.0,3595.5,3545.0,3494.5,3444.0,3393.5,3343.0,3292.5,3242.0,3191.5,3141.0,3090.5,3040.0,2989.5,2939.0,2888.5,2838.0,2787.5,2737.0,2686.5,2636.0,2585.5,2535.0,2484.5,2434.0,2383.5,2333.0,2282.5,2232.0,2181.5,2131.0,2080.5,2030.0,1979.5,1929.0,1878.5,1828.0,1777.5,1727.0,1676.5,1626.0,1575.5,1525.0,1474.5,1424.0,1373.5,1323.0,1272.5,1222.0,1171.5,1121.0,1070.5,1020.0,969.5,919.0,868.5,818.0,767.5,717.0,666.5,616.0,565.5,515.0,464.5,414.0,363.5,313.0,262.5,212.0,161.5,111.0,60.5,10.0,60.5,111.0,161.5,212.0,262.5,313.0,363.5,414.0,464.5,515.0,565.5,616.0,666.5,717.0,767.5,818.0,868.5,919.0,969.5,1020.0,1070.5,1121.0,1171.5,1222.0,1272.5,1323.0,1373.5,1424.0,1474.5,1525.0,1575.5,1626.0,1676.5,1727.0,1777.5,1828.0,1878.5,1929.0,1979.5,2030.0,2080.5,2131.0,2181.5,2232.0,2282.5,2333.0,2383.5,2434.0,2484.5,2535.0,2585.5,2636.0,2686.5,2737.0,2787.5,2838.0,2888.5,2939.0,2989.5,3040.0,3090.5,3141.0,3191.5,3242.0,3292.5,3343.0,3393.5,3444.0,3494.5,3545.0,3595.5,3646.0,3696.5,3747.0,3797.5,3848.0,3898.5,3949.0,3999.5,4050.0,3545.0,3040.0,2535.0,2030.0,1525.0,1020.0,4050.0|
HV+ Meter Low,|6920.0,6425.0,5930.0,5435.0,4940.0,4445.0,3950.0,3950.0,3900.5,3851.0,3801.5,3752.0,3702.5,3653.0,3603.5,3554.0,3504.5,3455.0,3405.5,3356.0,3306.5,3257.0,3207.5,3158.0,3108.5,3059.0,3009.5,2960.0,2910.5,2861.0,2811.5,2762.0,2712.5,2663.0,2613.5,2564.0,2514.5,2465.0,2415.5,2366.0,2316.5,2267.0,2217.5,2168.0,2118.5,2069.0,2019.5,1970.0,1920.5,1871.0,1821.5,1772.0,1722.5,1673.0,1623.5,1574.0,1524.5,1475.0,1425.5,1376.0,1326.5,1277.0,1227.5,1178.0,1128.5,1079.0,1029.5,980.0,930.5,881.0,831.5,782.0,732.5,683.0,633.5,584.0,534.5,485.0,435.5,386.0,336.5,287.0,237.5,188.0,138.5,89.0,39.5,-10.0,39.5,89.0,138.5,188.0,237.5,287.0,336.5,386.0,435.5,485.0,534.5,584.0,633.5,683.0,732.5,782.0,831.5,881.0,930.5,980.0,1029.5,1079.0,1128.5,1178.0,1227.5,1277.0,1326.5,1376.0,1425.5,1475.0,1524.5,1574.0,1623.5,1673.0,1722.5,1772.0,1821.5,1871.0,1920.5,1970.0,2019.5,2069.0,2118.5,2168.0,2217.5,2267.0,2316.5,2366.0,2415.5,2465.0,2514.5,2564.0,2613.5,2663.0,2712.5,2762.0,2811.5,2861.0,2910.5,2960.0,3009.5,3059.0,3108.5,3158.0,3207.5,3257.0,3306.5,3356.0,3405.5,3455.0,3504.5,3554.0,3603.5,3653.0,3702.5,3752.0,3801.5,3851.0,3900.5,3950.0,3455.0,2960.0,2465.0,1970.0,1475.0,980.0,3950.0|
Vout+,|-7033,-6512,-6018,-5527,-5032,-4533,-4034,-4034,-3995,-3927,-3853,-3780,-3732,-3691,-3618,-3573,-3520,-3479,-3427,-3378,-3356,-3281,-3259,-3187,-3151,-3098,-3027,-2977,-2942,-2898,-2860,-2815,-2758,-2707,-2659,-2604,-2555,-2499,-2446,-2389,-2339,-2284,-2237,-2229,-2139,-2130,-2034,-1988,-1939,-1882,-1875,-1790,-1737,-1689,-1642,-1593,-1550,-1504,-1439,-1409,-1342,-1289,-1241,-1192,-1143,-1094,-1048,-998,-954,-897,-860,-793,-745,-710,-657,-604,-561,-508,-450,-403,-352,-305,-254,-204,-153,-1,-1,-1,-1,-1,147,196,245,295,345,394,442,491,539,593,641,685,742,799,853,879,944,990,1042,1087,1138,1188,1241,1288,1335,1388,1451,1492,1545,1592,1640,1691,1766,1819,1871,1899,1942,1987,2036,2087,2139,2189,2237,2285,2335,2392,2438,2485,2529,2585,2646,2692,2729,2781,2841,2887,2935,2974,3030,3082,3134,3184,3223,3286,3339,3385,3442,3496,3549,3599,3639,3689,3745,3766,3823,3885,3935,3986,3486,3041,2538,2022,1492,981,3996|
HV- Meter High,|1020.0,1525.0,2030.0,2535.0,3040.0,3545.0,4050.0,4050.0,3999.5,3949.0,3898.5,3848.0,3797.5,3747.0,3696.5,3646.0,3595.5,3545.0,3494.5,3444.0,3393.5,3343.0,3292.5,3242.0,3191.5,3141.0,3090.5,3040.0,2989.5,2939.0,2888.5,2838.0,2787.5,2737.0,2686.5,2636.0,2585.5,2535.0,2484.5,2434.0,2383.5,2333.0,2282.5,2232.0,2181.5,2131.0,2080.5,2030.0,1979.5,1929.0,1878.5,1828.0,1777.5,1727.0,1676.5,1626.0,1575.5,1525.0,1474.5,1424.0,1373.5,1323.0,1272.5,1222.0,1171.5,1121.0,1070.5,1020.0,969.5,919.0,868.5,818.0,767.5,717.0,666.5,616.0,565.5,515.0,464.5,414.0,363.5,313.0,262.5,212.0,161.5,111.0,60.5,10.0,60.5,111.0,161.5,212.0,262.5,313.0,363.5,414.0,464.5,515.0,565.5,616.0,666.5,717.0,767.5,818.0,868.5,919.0,969.5,1020.0,1070.5,1121.0,1171.5,1222.0,1272.5,1323.0,1373.5,1424.0,1474.5,1525.0,1575.5,1626.0,1676.5,1727.0,1777.5,1828.0,1878.5,1929.0,1979.5,2030.0,2080.5,2131.0,2181.5,2232.0,2282.5,2333.0,2383.5,2434.0,2484.5,2535.0,2585.5,2636.0,2686.5,2737.0,2787.5,2838.0,2888.5,2939.0,2989.5,3040.0,3090.5,3141.0,3191.5,3242.0,3292.5,3343.0,3393.5,3444.0,3494.5,3545.0,3595.5,3646.0,3696.5,3747.0,3797.5,3848.0,3898.5,3949.0,3999.5,4050.0,4555.0,5060.0,5565.0,6070.0,6575.0,7080.0,4050.0|
HV- Meter Low,|980.0,1475.0,1970.0,2465.0,2960.0,3455.0,3950.0,3950.0,3900.5,3851.0,3801.5,3752.0,3702.5,3653.0,3603.5,3554.0,3504.5,3455.0,3405.5,3356.0,3306.5,3257.0,3207.5,3158.0,3108.5,3059.0,3009.5,2960.0,2910.5,2861.0,2811.5,2762.0,2712.5,2663.0,2613.5,2564.0,2514.5,2465.0,2415.5,2366.0,2316.5,2267.0,2217.5,2168.0,2118.5,2069.0,2019.5,1970.0,1920.5,1871.0,1821.5,1772.0,1722.5,1673.0,1623.5,1574.0,1524.5,1475.0,1425.5,1376.0,1326.5,1277.0,1227.5,1178.0,1128.5,1079.0,1029.5,980.0,930.5,881.0,831.5,782.0,732.5,683.0,633.5,584.0,534.5,485.0,435.5,386.0,336.5,287.0,237.5,188.0,138.5,89.0,39.5,-10.0,39.5,89.0,138.5,188.0,237.5,287.0,336.5,386.0,435.5,485.0,534.5,584.0,633.5,683.0,732.5,782.0,831.5,881.0,930.5,980.0,1029.5,1079.0,1128.5,1178.0,1227.5,1277.0,1326.5,1376.0,1425.5,1475.0,1524.5,1574.0,1623.5,1673.0,1722.5,1772.0,1821.5,1871.0,1920.5,1970.0,2019.5,2069.0,2118.5,2168.0,2217.5,2267.0,2316.5,2366.0,2415.5,2465.0,2514.5,2564.0,2613.5,2663.0,2712.5,2762.0,2811.5,2861.0,2910.5,2960.0,3009.5,3059.0,3108.5,3158.0,3207.5,3257.0,3306.5,3356.0,3405.5,3455.0,3504.5,3554.0,3603.5,3653.0,3702.5,3752.0,3801.5,3851.0,3900.5,3950.0,4445.0,4940.0,5435.0,5930.0,6425.0,6920.0,3950.0|
